10:28:55,348 DEBUG BasicTypeRegistry:401 - Adding type registration timezone -> org.hibernate.type.BasicTypeReference@6c2ed0cd
10:28:55,348 DEBUG BasicTypeRegistry:401 - Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@6c2ed0cd
10:28:55,348 DEBUG BasicTypeRegistry:401 - Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@7d9e8ef7
10:28:55,348 DEBUG BasicTypeRegistry:401 - Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@7d9e8ef7
10:28:55,348 DEBUG BasicTypeRegistry:401 - Adding type registration url -> org.hibernate.type.BasicTypeReference@f107c50
10:28:55,348 DEBUG BasicTypeRegistry:401 - Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@f107c50
10:28:55,348 DEBUG BasicTypeRegistry:401 - Adding type registration row_version -> org.hibernate.type.BasicTypeReference@51133c06
10:28:55,353 DEBUG BasicTypeRegistry:376 - Adding type registration object -> org.hibernate.type.JavaObjectType@65b104b9
10:28:55,353 DEBUG BasicTypeRegistry:376 - Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@65b104b9
10:28:55,354 DEBUG BasicTypeRegistry:376 - Adding type registration null -> org.hibernate.type.NullType@3e6104fc
10:28:55,355 DEBUG BasicTypeRegistry:401 - Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@12359a82
10:28:55,355 DEBUG BasicTypeRegistry:401 - Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@68df9280
10:28:55,355 DEBUG BasicTypeRegistry:401 - Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@479460a6
10:28:55,355 DEBUG BasicTypeRegistry:401 - Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@7164ca4c
10:28:55,355 DEBUG BasicTypeRegistry:401 - Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@4f3bbf68
10:28:55,355 DEBUG BasicTypeRegistry:401 - Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@5be46f9d
10:28:55,355 DEBUG BasicTypeRegistry:401 - Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@3f91b517
10:28:55,355 DEBUG BasicTypeRegistry:401 - Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@68702e03
10:28:55,384  WARN pooling:80 - HHH10001002: Using built-in connection pool (not intended for production use)
10:28:55,390  INFO pooling:135 - HHH10001005: Loaded JDBC driver class: com.mysql.cj.jdbc.Driver
10:28:55,390  INFO pooling:157 - HHH10001012: Connecting with JDBC URL [jdbc:mysql://localhost/hibernate_forecast]
10:28:55,391  INFO pooling:166 - HHH10001001: Connection properties: {password=****, user=root}
10:28:55,391  INFO pooling:170 - HHH10001003: Autocommit mode: false
10:28:55,394  INFO pooling:366 - HHH10001115: Connection pool size: 10 (min=1)
10:28:55,799 DEBUG DdlTypeRegistry:63 - addDescriptor(12, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@534243e4) replaced previous registration(org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@29006752)
10:28:55,799 DEBUG DdlTypeRegistry:63 - addDescriptor(-9, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@470a9030) replaced previous registration(org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@66d57c1b)
10:28:55,800 DEBUG DdlTypeRegistry:63 - addDescriptor(-3, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@27494e46) replaced previous registration(org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@d59970a)
10:28:55,800 DEBUG DdlTypeRegistry:63 - addDescriptor(4003, org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@1e411d81) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@53b98ff6)
10:28:55,800 DEBUG DdlTypeRegistry:63 - addDescriptor(4001, org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@3e6fd0b9) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@7fcff1b9)
10:28:55,800 DEBUG DdlTypeRegistry:63 - addDescriptor(4002, org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@697446d4) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@76adb233)
10:28:55,800 DEBUG DdlTypeRegistry:63 - addDescriptor(2004, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@36074e47) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@36453307)
10:28:55,800 DEBUG DdlTypeRegistry:63 - addDescriptor(2005, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@7dcc91fd) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@66eb985d)
10:28:55,801 DEBUG DdlTypeRegistry:63 - addDescriptor(2011, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@6a9287b1) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@75504cef)
10:28:55,802 DEBUG JdbcTypeRegistry:56 - addDescriptor(NCharTypeDescriptor) replaced previous registration(CharTypeDescriptor)
10:28:55,802 DEBUG JdbcTypeRegistry:56 - addDescriptor(NVarcharTypeDescriptor) replaced previous registration(VarcharTypeDescriptor)
